,sku,forecast_period,interval,last_date,2019-06,2019-07,2019-08,2019-09,2019-10
83,MB297943,5,M,2019-05-28,4.0,4.0,4.0,4.0,4.0
84,MB302227,5,M,2019-05-28,0.0,1.0,1.0,1.0,1.0
85,MB334131,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
86,MB334150,5,M,2019-05-28,30.0,48.0,33.0,6.0,10.0
87,MB361218,5,M,2019-05-28,4.0,16.0,9.0,10.0,11.0
88,MB390951,5,M,2019-05-28,19.0,36.0,14.0,42.0,38.0
89,MB390989,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
90,MB391615,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
91,MB392708,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
92,MB392920,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
93,MB394710,5,M,2019-05-28,27.0,28.0,26.0,27.0,39.0
94,MB412538,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
95,MB415435,5,M,2019-05-28,2.25,1.875,2.062,1.969,2.016
96,MB439722,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
97,MB486623,5,M,2019-05-28,0.0,0.0,0.0,1.0,0.0
98,MB526347,5,M,2019-05-28,4.0,4.0,4.0,4.0,4.0
99,MB553002,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
100,MB556349,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
101,MB633070,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
102,MB726239,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
103,MC001121,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
104,MC001139,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
105,MC015452,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
106,MC015456,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
107,MC015457,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
108,MC015462,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
109,MC017661,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
110,MC017952,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
111,MC022119,5,M,2019-05-28,0.0,0.0,0.0,1.0,0.0
112,MC023679,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
113,MC025954,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
114,MC033921,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
115,MC034127,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
116,MC037985,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
117,MC043006,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
118,MC057658,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
119,MC058410,5,M,2019-05-28,1.0,0.0,0.0,0.0,0.0
120,MC058419,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
121,MC067056,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
122,MC070601,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
123,MC072022,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
124,MC072307,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
125,MC076069,5,M,2019-05-28,11.0,10.0,9.0,8.0,9.0
126,MC080339,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
127,MC080658,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
128,MC081041,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
129,MC081462,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
130,MC081560,5,M,2019-05-28,0.0,0.0,0.0,0.0,1.0
131,MC081817,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
132,MC082424,5,M,2019-05-28,0.0,0.0,1.0,0.0,0.0
133,MC082719,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
134,MC085648,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
135,MC089054,5,M,2019-05-28,0.0,1.0,1.0,1.0,1.0
136,MC089604,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
137,MC089971,5,M,2019-05-28,2.0,2.0,2.0,2.0,2.0
138,MC090389,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
139,MC111341,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
140,MC112002,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
141,MC112144,5,M,2019-05-28,29.0,35.0,24.0,23.0,28.0
142,MC112512,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
143,MC114560,5,M,2019-05-28,4.0,11.0,6.0,3.0,8.0
144,MC116183,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
145,MC117648,5,M,2019-05-28,56.0,17.0,33.0,27.0,27.0
146,MC118750,5,M,2019-05-28,3.0,8.0,6.0,8.0,1.0
147,MC123137,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
148,MC124858,5,M,2019-05-28,15.0,15.0,15.0,16.0,15.0
149,MC127055,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
150,MC129600,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
151,MC134432,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
152,MC138928,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
153,MC140105,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
154,MC140354,5,M,2019-05-28,5.0,5.0,4.0,4.0,4.0
155,MC142570,5,M,2019-05-28,1.0,1.0,1.0,1.0,1.0
156,MC142765,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
157,MC142784,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
158,MC146059,5,M,2019-05-28,7.0,82.0,17.0,2.0,6.0
159,MC146491,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
160,MC147092,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
161,MC147883,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
162,MC149097,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
163,MC153090,5,M,2019-05-28,8.0,10.0,10.0,9.0,9.0
164,MC180339,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
165,MC180381,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
166,MC180553,5,M,2019-05-28,0.0,0.0,0.0,0.0,0.0
167,MC181017,5,M,2019-05-28,1.5,1.25,1.375,1.312,1.344
168,MC181179,5,M,2019-05-28,0.0,0.0,0.0,0.0,1.0
